date,facility_id,patients_in,patients_out,beds_occupied,beds_available,ambulances_used,doctors_available,staff_available
2023-07-21,FAC0281,31,50,450,24,2,2,10
2023-02-06,FAC0166,0,2,14,3,0,6,12
2024-09-11,FAC0261,5,1,10,25,1,3,16
2023-02-13,FAC0222,1,1,41,18,4,5,12
2024-02-20,FAC0103,8,3,26,33,2,2,8
2024-08-10,FAC0009,2,2,28,2,1,5,18
2023-09-26,FAC0066,21,0,129,233,2,5,14
2023-04-10,FAC0130,3,0,10,14,1,4,11
2023-12-05,FAC0293,1,0,10,14,0,9,22
2024-10-04,FAC0211,0,1,5,7,0,4,15
2024-06-24,FAC0174,21,5,118,34,0,1,6
2024-01-10,FAC0116,17,4,59,119,0,11,9
2023-02-07,FAC0294,4,1,18,10,0,5,13
2023-06-09,FAC0113,1,0,11,2,0,6,15
2024-01-06,FAC0059,3,0,28,8,0,4,7
2024-06-21,FAC0196,3,1,24,5,1,6,14
2024-06-17,FAC0221,16,9,163,157,5,5,8
2023-11-29,FAC0053,0,1,5,10,0,3,18
2023-04-25,FAC0050,3,0,37,12,2,7,8
2023-09-14,FAC0157,3,2,13,17,0,8,9
2023-09-22,FAC0270,4,0,29,20,0,5,17
2023-10-21,FAC0009,0,3,14,16,2,3,13
2023-05-07,FAC0248,3,8,20,47,2,12,4
2024-01-22,FAC0135,3,0,27,3,0,11,16
2024-04-29,FAC0120,8,10,66,48,1,4,10
2024-03-30,FAC0013,0,1,9,12,0,2,10
2023-12-03,FAC0075,1,1,8,4,0,9,19
2024-12-27,FAC0085,1,0,5,3,0,4,10
2023-02-17,FAC0176,2,0,18,7,1,9,10
2024-10-24,FAC0135,4,3,14,16,1,8,23
2023-11-16,FAC0005,0,0,12,4,0,6,9
2023-03-05,FAC0273,3,2,15,16,1,6,6
2024-09-20,FAC0203,5,7,61,37,1,6,19
2024-06-23,FAC0294,0,2,15,13,0,5,14
2023-07-06,FAC0256,3,1,17,11,0,8,13
2024-02-28,FAC0273,3,1,22,9,0,3,7
2024-11-22,FAC0127,7,0,46,7,1,5,7
2024-03-27,FAC0131,0,1,38,3,0,4,16
2023-07-25,FAC0021,1,1,6,13,1,4,18
2023-06-18,FAC0248,10,0,52,15,1,12,5
2023-09-12,FAC0152,32,3,219,56,5,5,8
2024-11-17,FAC0175,4,2,23,15,2,3,8
2023-09-16,FAC0218,1,1,9,2,2,8,19
2023-05-29,FAC0217,13,8,49,46,0,9,11
2024-03-31,FAC0077,1,1,3,7,0,7,16
2024-02-23,FAC0195,1,1,8,6,1,5,11
2024-10-30,FAC0278,7,12,120,37,8,3,10
2023-11-12,FAC0203,4,11,63,35,2,6,13
2024-03-11,FAC0213,2,0,15,12,1,8,14
2023-09-18,FAC0228,1,0,11,13,0,11,17
2023-06-17,FAC0113,0,0,11,2,0,5,17
2024-11-01,FAC0170,14,23,215,21,1,5,14
2023-04-09,FAC0065,1,9,63,22,2,5,18
2023-09-14,FAC0118,0,0,14,24,0,4,9
2024-12-12,FAC0252,10,6,39,57,1,7,10
2024-01-29,FAC0048,6,1,36,5,0,5,12
2024-07-29,FAC0126,4,0,25,12,0,3,16
2023-03-08,FAC0233,1,1,4,4,0,8,10
2023-09-11,FAC0085,1,0,6,2,1,4,8
2023-05-19,FAC0139,0,3,61,10,2,4,19
2024-09-09,FAC0010,1,1,6,7,1,3,7
2023-09-08,FAC0300,0,1,18,6,1,2,14
2023-02-01,FAC0265,2,0,13,16,0,6,9
2024-06-15,FAC0089,1,0,21,40,1,7,7
2023-12-29,FAC0247,0,0,9,3,1,2,14
2023-09-28,FAC0010,0,0,11,2,0,2,8
2023-08-03,FAC0208,5,1,32,7,0,2,12
2023-10-07,FAC0058,2,1,7,8,0,2,9
2024-05-05,FAC0271,0,1,16,5,0,5,9
2023-02-04,FAC0057,1,1,4,7,2,7,15
2023-06-04,FAC0205,4,4,61,21,0,4,16
2023-03-24,FAC0199,1,2,21,10,1,2,23
2024-11-25,FAC0224,1,1,6,6,2,8,14
2024-01-26,FAC0104,5,2,24,18,0,12,7
2023-12-19,FAC0173,2,0,18,4,1,5,11
2023-03-29,FAC0260,5,0,21,23,2,2,19
2023-06-27,FAC0057,1,0,8,3,2,6,13
2024-10-17,FAC0064,6,8,53,23,2,5,12
2023-11-15,FAC0087,2,0,14,3,0,3,15
2023-01-17,FAC0145,4,4,23,11,0,8,5
2023-08-27,FAC0274,13,1,57,35,0,7,19
2024-02-12,FAC0076,2,4,24,13,0,6,7
2023-10-06,FAC0020,0,2,16,4,1,5,9
2023-02-07,FAC0047,1,0,2,4,0,3,16
2023-07-29,FAC0038,0,4,45,19,0,8,15
2024-05-08,FAC0124,17,6,113,147,8,2,20
2024-08-09,FAC0105,0,0,9,21,0,4,16
2023-03-17,FAC0239,0,1,1,4,1,3,5
2024-05-05,FAC0217,1,4,60,35,0,8,20
2023-08-17,FAC0101,1,2,17,26,3,4,7
2024-08-05,FAC0045,0,4,32,5,0,5,16
2023-11-22,FAC0228,2,2,22,2,0,7,10
2024-07-22,FAC0161,1,0,7,4,2,4,8
2023-09-28,FAC0142,43,17,194,165,7,2,18
2023-05-02,FAC0210,0,2,25,25,2,2,10
2023-06-04,FAC0250,0,1,16,5,2,4,11
2023-04-23,FAC0091,0,2,13,25,1,6,15
2024-09-29,FAC0174,7,5,142,10,1,1,9
2024-02-03,FAC0026,0,1,7,6,2,6,11
2024-02-26,FAC0241,0,1,5,10,1,5,13
2024-06-30,FAC0081,3,0,32,6,0,6,6
2023-02-24,FAC0241,2,1,12,3,0,3,20
2024-08-01,FAC0227,1,16,318,134,1,6,11
2023-01-28,FAC0176,2,0,15,10,0,5,12
2024-05-06,FAC0146,1,0,4,5,1,1,16
2024-09-01,FAC0219,1,1,8,6,1,4,19
2024-05-05,FAC0296,38,35,153,246,6,4,13
2024-08-18,FAC0269,3,0,7,17,0,7,8
2023-06-18,FAC0117,0,0,12,6,0,5,20
2023-02-09,FAC0095,3,1,22,18,2,4,13
2023-12-11,FAC0138,0,1,7,2,0,5,12
2024-03-03,FAC0042,2,1,18,4,0,3,16
2023-07-07,FAC0266,0,3,51,45,1,4,17
2023-04-28,FAC0047,0,1,2,4,0,3,9
2024-03-12,FAC0165,35,19,131,161,1,1,14
2024-04-23,FAC0278,5,7,139,18,6,7,14
2023-03-04,FAC0026,1,1,4,9,1,6,15
2023-03-31,FAC0005,1,0,11,5,0,9,9
2024-10-08,FAC0019,1,0,23,8,0,5,15
2024-06-20,FAC0262,0,0,18,4,0,4,7
2023-07-22,FAC0146,0,1,7,2,0,2,10
2024-03-03,FAC0032,0,0,8,5,0,12,9
2023-07-03,FAC0266,10,3,32,64,2,4,14
2023-11-04,FAC0193,0,0,8,16,1,5,11
2023-10-18,FAC0046,2,0,11,4,1,2,7
2023-05-02,FAC0284,25,23,138,77,7,1,16
2023-02-11,FAC0149,1,1,9,3,2,4,16
2023-02-11,FAC0021,1,2,6,13,1,6,12
2023-06-09,FAC0184,2,3,26,10,2,5,9
2024-12-07,FAC0119,2,3,23,14,0,1,14
2024-06-06,FAC0203,1,7,70,28,3,8,13
2023-03-18,FAC0071,0,1,5,6,1,4,12
2023-04-11,FAC0208,5,0,26,13,1,3,19
2024-09-02,FAC0288,2,2,17,6,1,6,9
2023-04-05,FAC0076,3,0,28,9,1,7,15
2023-10-18,FAC0016,1,0,9,9,0,4,10
2024-10-07,FAC0003,0,1,10,10,2,3,12
2024-03-28,FAC0255,1,3,30,7,0,8,16
2024-08-08,FAC0120,11,10,72,42,4,2,9
2024-07-01,FAC0007,2,1,35,13,0,5,16
2024-10-13,FAC0286,2,0,12,6,2,2,9
2024-03-22,FAC0274,0,11,69,23,1,5,11
2023-04-20,FAC0180,24,17,101,77,2,2,14
2024-07-29,FAC0113,0,0,7,6,1,8,16
2024-01-13,FAC0263,5,2,12,28,0,6,8
2024-07-21,FAC0294,3,3,10,18,1,9,13
2023-04-27,FAC0172,0,0,17,26,2,4,9
2023-03-27,FAC0110,5,2,17,24,0,7,14
2024-06-22,FAC0052,2,0,13,2,1,8,13
2023-09-22,FAC0239,0,1,4,1,0,5,8
2023-03-29,FAC0073,0,1,3,5,1,2,12
2024-09-30,FAC0184,1,2,22,14,1,4,14
2023-12-02,FAC0196,2,3,12,17,1,6,20
2024-04-09,FAC0213,4,0,19,8,1,4,12
2024-03-12,FAC0046,1,0,5,10,2,2,13
2023-03-23,FAC0247,1,0,9,3,0,3,13
2024-05-25,FAC0186,1,1,8,8,2,5,10
2023-10-18,FAC0165,20,35,206,86,2,1,12
2024-01-16,FAC0144,4,0,14,14,1,6,12
2024-11-13,FAC0143,8,3,82,12,2,6,12
2024-08-24,FAC0222,3,0,20,39,0,6,13
2023-07-27,FAC0233,0,1,2,6,1,6,16
2024-01-01,FAC0188,10,4,232,76,4,1,14
2023-03-12,FAC0284,28,19,72,143,3,3,18
2023-03-13,FAC0172,1,4,22,21,0,3,9
2024-04-16,FAC0135,4,3,14,16,0,11,13
2023-06-02,FAC0287,5,0,16,20,2,2,13
2024-11-27,FAC0173,3,2,10,12,1,5,17
2024-11-13,FAC0119,4,0,12,25,0,1,16
2024-07-23,FAC0228,1,1,14,10,0,11,12
2024-07-26,FAC0023,2,1,85,14,1,8,6
2024-03-01,FAC0151,5,1,34,32,1,3,11
2023-03-06,FAC0155,6,3,48,15,0,4,8
2023-09-19,FAC0060,17,9,93,35,2,9,10
2023-06-03,FAC0281,53,28,356,118,2,5,8
2024-02-26,FAC0112,2,2,10,13,0,4,14
2024-12-27,FAC0163,3,3,13,16,0,7,15
2024-08-02,FAC0006,30,4,202,42,5,8,15
2023-07-06,FAC0025,3,1,24,2,1,2,22
2023-06-08,FAC0104,4,5,29,13,1,12,10
2023-12-02,FAC0012,1,1,9,1,1,6,20
2024-01-28,FAC0197,2,0,18,20,1,5,14
2024-11-17,FAC0082,2,2,10,13,1,3,17
2024-03-18,FAC0215,5,3,22,18,3,3,12
2023-01-09,FAC0121,3,1,38,7,0,3,11
2024-10-09,FAC0251,2,1,22,2,0,8,8
2023-03-17,FAC0250,2,1,19,2,2,8,8
2024-08-27,FAC0064,0,1,43,33,1,5,9
2023-02-16,FAC0207,3,0,30,5,1,5,7
2023-12-16,FAC0074,0,0,3,5,1,3,8
2023-01-06,FAC0147,4,4,35,6,3,7,10
2023-01-29,FAC0148,0,0,3,8,0,6,11
2024-01-20,FAC0152,6,21,180,95,3,5,11
2023-10-02,FAC0071,1,1,5,6,0,4,10
2023-10-09,FAC0128,8,3,39,18,2,7,7
2023-12-03,FAC0171,2,1,12,4,1,3,16
2023-01-01,FAC0156,0,7,89,11,0,5,6
2023-10-05,FAC0271,0,2,12,9,1,4,16
2024-10-14,FAC0159,5,2,16,25,1,3,16
2023-06-14,FAC0073,1,1,6,2,1,3,11
2023-02-08,FAC0115,7,7,26,33,0,7,10
2024-05-20,FAC0138,1,0,7,2,1,4,19
2023-10-07,FAC0186,0,0,6,10,2,4,9
2024-04-24,FAC0244,1,1,9,2,1,5,15
2023-09-26,FAC0193,1,2,17,7,1,9,12
2023-10-08,FAC0248,3,6,56,11,1,9,3
2024-12-15,FAC0214,0,2,13,6,2,4,6
2024-02-16,FAC0133,0,0,20,39,2,4,13
2023-03-15,FAC0166,0,1,10,7,0,5,14
2023-12-29,FAC0093,41,10,124,179,2,5,18
2024-06-04,FAC0163,4,2,11,18,1,9,14
2023-06-08,FAC0154,0,1,32,18,3,2,10
2023-03-25,FAC0095,3,2,12,28,0,4,15
2023-09-21,FAC0137,1,1,12,9,1,2,9
2023-11-08,FAC0121,5,0,19,26,0,1,11
2023-01-25,FAC0186,2,0,4,12,0,4,7
2023-01-08,FAC0252,2,3,40,56,3,4,13
2023-07-24,FAC0019,2,2,20,11,0,6,15
2023-11-29,FAC0159,0,0,21,20,1,4,8
2023-09-23,FAC0191,5,4,45,4,1,6,8
2023-11-25,FAC0272,2,0,18,4,1,4,11
2023-12-12,FAC0129,0,2,32,8,2,4,20
2024-11-03,FAC0200,4,0,26,3,0,4,15
2024-12-23,FAC0255,1,3,14,23,1,7,9
2024-10-02,FAC0169,13,7,42,45,1,2,9
2023-03-07,FAC0251,3,2,21,3,0,8,14
2023-10-19,FAC0034,1,1,5,5,1,4,17
2023-01-03,FAC0109,3,2,22,2,0,4,10
2024-11-02,FAC0251,2,1,14,10,0,9,10
2024-02-07,FAC0190,8,9,35,46,1,10,8
2024-10-02,FAC0172,1,1,16,27,1,5,12
2024-08-18,FAC0172,4,2,29,14,2,3,13
2024-11-04,FAC0189,0,1,10,4,1,4,10
2023-10-05,FAC0192,1,5,212,98,5,5,13
2023-09-09,FAC0150,4,0,12,18,0,3,12
2024-10-05,FAC0082,1,0,19,4,0,5,18
2023-02-09,FAC0282,2,2,17,18,0,2,11
2023-05-30,FAC0055,33,7,206,226,0,5,14
2024-02-19,FAC0099,2,1,45,14,3,4,7
2024-09-22,FAC0109,0,1,14,10,1,4,9
2023-02-25,FAC0163,1,1,17,12,0,8,18
2023-05-23,FAC0103,2,5,26,33,3,3,6
2024-04-19,FAC0058,1,0,7,8,0,3,8
2024-06-02,FAC0198,1,2,7,11,1,3,9
2024-07-20,FAC0094,7,3,52,5,5,5,11
2024-03-25,FAC0103,1,4,43,16,1,2,10
2024-10-04,FAC0135,2,0,10,20,1,7,14
2024-08-04,FAC0217,5,0,76,19,0,4,14
2023-03-15,FAC0085,0,0,3,5,1,3,7
2023-11-28,FAC0102,0,1,8,5,1,2,20
2023-09-17,FAC0023,9,11,57,42,1,8,6
2024-09-25,FAC0031,18,28,331,60,0,1,11
2023-09-02,FAC0116,4,11,93,85,2,8,15
2024-07-03,FAC0029,1,2,14,5,0,4,19
2023-12-08,FAC0181,3,0,34,13,0,4,15
2024-08-20,FAC0008,2,2,9,15,0,2,6
2023-01-14,FAC0267,10,2,67,13,1,7,12
2023-10-16,FAC0231,0,0,10,1,1,2,16
2023-10-08,FAC0102,1,1,11,2,1,2,16
2023-07-27,FAC0246,1,2,21,38,1,3,11
2024-02-15,FAC0191,7,3,27,22,1,3,8
2024-08-05,FAC0057,1,0,6,5,0,4,15
2024-11-17,FAC0281,36,32,377,97,0,5,7
2024-02-11,FAC0010,1,1,11,2,0,5,9
2024-02-25,FAC0012,0,1,8,2,0,3,23
2023-04-12,FAC0283,1,4,21,18,1,8,12
2023-03-13,FAC0167,7,0,28,36,0,2,10
2024-04-27,FAC0051,14,20,163,317,8,7,14
2023-03-04,FAC0072,3,5,41,27,0,9,9
2023-11-10,FAC0072,3,5,36,32,1,10,19
2024-08-22,FAC0135,3,0,9,21,0,9,21
2024-10-21,FAC0276,4,1,24,9,0,3,13
2023-01-28,FAC0093,0,31,171,132,3,6,15
2024-01-30,FAC0241,2,0,8,7,1,4,22
2023-08-19,FAC0088,1,1,26,13,1,6,12
2024-04-07,FAC0104,2,1,17,25,0,7,7
2024-01-11,FAC0165,22,23,217,75,1,1,11
2023-05-31,FAC0199,3,2,28,3,0,1,23
2024-04-23,FAC0086,32,29,158,157,5,3,13
2024-07-10,FAC0292,1,1,7,16,0,3,12
2024-05-22,FAC0245,4,3,21,23,2,2,15
2023-11-17,FAC0235,3,0,15,16,2,4,6
2023-11-30,FAC0294,4,1,20,8,0,10,10
2024-11-30,FAC0119,0,3,25,12,0,2,14
2024-12-09,FAC0145,4,1,27,7,0,8,11
2023-12-28,FAC0213,2,2,20,7,0,8,18
2023-03-11,FAC0220,36,19,179,66,8,1,10
2023-06-06,FAC0189,2,0,5,9,1,6,14
2024-05-31,FAC0161,1,0,7,4,2,6,9
2024-08-06,FAC0105,3,3,28,2,0,5,25
2024-11-18,FAC0110,1,3,24,17,0,8,14
2024-01-25,FAC0213,4,1,20,7,0,6,12
2023-03-10,FAC0156,9,9,34,66,4,5,5
2024-04-12,FAC0294,2,2,12,16,1,7,15
2024-05-21,FAC0048,3,2,18,23,0,5,18
2023-08-08,FAC0041,1,1,6,2,1,2,11
2024-03-03,FAC0129,2,2,28,12,1,4,20
2024-11-18,FAC0034,1,0,8,2,0,7,11
2024-05-25,FAC0069,0,1,9,5,0,3,12
2023-01-24,FAC0036,2,0,8,8,1,2,7
2024-10-12,FAC0049,13,5,43,46,2,5,10
2023-07-07,FAC0080,0,1,6,8,0,7,7
2024-05-17,FAC0034,1,1,6,4,1,3,16
2023-06-06,FAC0190,6,8,56,25,1,8,13
2023-06-14,FAC0292,2,0,20,3,0,7,7
2024-05-13,FAC0123,6,1,37,4,0,4,8
2024-04-19,FAC0215,1,1,24,16,0,4,9
2023-08-14,FAC0276,0,0,13,20,0,7,13
2023-02-18,FAC0205,2,6,27,55,4,5,9
2023-05-17,FAC0045,5,1,31,6,1,4,9
2024-09-16,FAC0233,0,0,2,6,0,5,17
2024-04-07,FAC0230,2,0,26,9,0,3,14
2023-11-18,FAC0006,35,24,153,91,1,8,15
2024-07-31,FAC0100,21,26,197,79,4,8,17
2023-04-12,FAC0154,4,3,30,20,2,3,19
2024-09-11,FAC0130,2,2,20,4,1,8,14
2023-12-23,FAC0098,4,0,22,14,1,5,6
2023-02-12,FAC0144,3,1,17,11,2,7,12
2024-09-28,FAC0097,1,4,70,16,2,6,14
2024-04-14,FAC0237,0,2,27,2,0,3,10
2023-06-16,FAC0092,26,17,248,94,5,7,10
2024-05-26,FAC0063,3,2,26,6,2,3,10
2023-08-26,FAC0234,0,0,10,1,1,2,7
2023-03-03,FAC0258,4,1,38,18,1,4,17
2024-10-08,FAC0076,3,3,30,7,1,7,14
2024-08-13,FAC0284,28,22,172,43,4,1,16
2023-05-05,FAC0087,2,2,14,3,1,3,14
2024-08-21,FAC0174,0,9,114,38,4,1,9
2024-05-02,FAC0119,5,4,35,2,1,1,14
2023-01-15,FAC0040,1,0,11,5,0,3,8
2023-09-27,FAC0169,5,9,28,59,0,4,16
2024-10-11,FAC0248,5,4,42,25,0,8,6
2024-11-26,FAC0169,10,6,39,48,3,5,12
2024-03-26,FAC0052,0,0,10,5,1,13,22
2024-03-27,FAC0128,0,6,24,33,4,12,11
2023-09-13,FAC0014,4,2,30,14,0,2,17
2023-11-01,FAC0209,1,1,16,9,0,6,17
2024-06-11,FAC0137,3,0,14,7,1,5,7
2024-11-11,FAC0278,15,15,133,24,1,7,9
2023-11-19,FAC0124,31,25,83,177,0,2,16
2024-06-17,FAC0199,0,3,19,12,2,2,24
2023-07-20,FAC0146,0,1,5,4,0,3,14
2023-06-10,FAC0041,0,1,4,4,0,5,13
2023-08-02,FAC0173,2,0,20,2,1,4,16
2024-05-15,FAC0213,0,1,9,18,0,6,10
2024-04-01,FAC0090,0,0,11,19,1,4,8
2024-04-03,FAC0186,0,1,14,2,1,5,7
2023-04-08,FAC0080,2,1,7,7,1,4,12
2024-03-25,FAC0165,36,34,185,107,1,1,17
2024-11-21,FAC0292,1,0,19,4,0,7,12
2023-04-24,FAC0240,1,0,11,5,0,9,10
2024-01-24,FAC0029,0,0,14,5,0,3,15
2023-01-04,FAC0246,5,0,38,21,1,3,13
2024-10-11,FAC0012,1,0,4,6,1,4,11
2023-10-14,FAC0161,0,1,8,3,0,6,12
2023-04-26,FAC0091,4,1,15,23,2,4,10
2023-02-11,FAC0089,1,6,53,8,1,3,15
2023-02-20,FAC0236,3,1,14,14,1,2,9
2024-06-12,FAC0001,1,1,7,17,0,4,7
2023-08-17,FAC0057,0,1,6,5,0,9,10
2023-10-09,FAC0181,0,5,18,29,1,4,11
2024-10-28,FAC0160,2,0,30,6,0,3,10
2024-02-29,FAC0289,0,2,37,9,1,4,8
2023-07-29,FAC0239,1,0,3,2,0,7,5
2024-10-03,FAC0122,0,0,12,3,0,4,17
2024-05-06,FAC0108,1,1,15,19,2,3,16
2024-02-20,FAC0075,1,0,4,8,1,11,18
2023-11-06,FAC0253,1,1,24,12,2,1,13
2024-02-24,FAC0165,9,15,207,85,0,1,13
2023-10-10,FAC0069,0,0,10,4,1,4,13
2024-09-19,FAC0278,23,0,68,89,3,6,13
2023-12-12,FAC0280,62,10,281,153,1,4,16
2023-06-27,FAC0233,0,0,6,2,0,11,10
2023-09-16,FAC0282,4,4,23,12,2,2,15
2023-09-27,FAC0174,1,11,86,66,2,1,6
2023-04-04,FAC0212,8,0,32,23,0,7,10
2023-05-15,FAC0222,3,0,38,21,4,4,18
2024-07-03,FAC0170,24,22,80,156,0,8,9
2023-10-24,FAC0272,0,0,18,4,1,6,17
2023-07-17,FAC0008,2,1,19,5,1,4,12
2024-09-08,FAC0176,3,0,16,9,0,7,15
2024-01-17,FAC0032,0,0,4,9,1,6,6
2023-12-21,FAC0265,4,0,14,15,1,5,10
2023-06-24,FAC0076,2,4,14,23,1,9,14
2024-12-27,FAC0128,5,2,35,22,3,12,8
