pharmacy_id,pharmacy_name,district,city,ownership,availability_status
PHR0046,Miraj Pharma Store,Sangli,Miraj,Private,Open
PHR0047,Solapur Pharma Pharmacy,Solapur,Solapur,Private,Open
PHR0048,Solapur Pharma Dispensary,Solapur,Solapur,Private,Open
PHR0049,Dadar Wellness Dispensary,Mumbai,Dadar,Private,Closed
PHR0050,Paithan Care Store,Aurangabad,Paithan,Government,Open
PHR0051,Alibag Health Store,Raigad,Alibag,Government,Open
PHR0052,Kagal Wellness Dispensary,Kolhapur,Kagal,Government,Closed
PHR0053,Aurangabad Care Store,Aurangabad,Aurangabad,Private,Open
PHR0054,Mangalvedhe Medical Dispensary,Solapur,Mangalvedhe,Government,Open
PHR0055,Karjat Pharma Store,Raigad,Karjat,Government,Open
PHR0056,Uran Health Chemist,Raigad,Uran,Government,Closed
PHR0057,Igatpuri Medical Chemist,Nashik,Igatpuri,Private,Open
PHR0058,Morshi Medical Chemist,Amravati,Morshi,Private,Open
PHR0059,Kurla Wellness Chemist,Mumbai,Kurla,Government,Open
PHR0060,Andheri Care Chemist,Mumbai,Andheri,Private,Open
PHR0061,Kopargaon Medical Store,Ahmednagar,Kopargaon,Government,Open
PHR0062,Phaltan Health Chemist,Satara,Phaltan,Private,Open
PHR0063,Shirur Pharma Pharmacy,Pune,Shirur,Government,Open
PHR0064,Barshi Medical Store,Solapur,Barshi,Government,Closed
PHR0065,Wai Medical Dispensary,Satara,Wai,Private,Open
PHR0066,Miraj Medical Pharmacy,Sangli,Miraj,Private,Closed
PHR0067,Tasgaon Health Dispensary,Sangli,Tasgaon,Government,Open
PHR0068,Ausa Care Store,Latur,Ausa,Private,Closed
PHR0069,Pen Care Store,Raigad,Pen,Government,Open
PHR0070,Sillod Pharma Pharmacy,Aurangabad,Sillod,Government,Open
PHR0071,Solapur Care Dispensary,Solapur,Solapur,Government,Open
PHR0072,Khanapur Pharma Store,Sangli,Khanapur,Private,Open
PHR0073,Andheri Health Dispensary,Mumbai,Andheri,Government,Open
PHR0074,Sinnar Medical Chemist,Nashik,Sinnar,Private,Open
PHR0075,Nashik Care Store,Nashik,Nashik,Private,Open
PHR0076,Mahabaleshwar Care Chemist,Satara,Mahabaleshwar,Private,Open
PHR0077,Paithan Health Pharmacy,Aurangabad,Paithan,Private,Open
PHR0078,Sakri Health Pharmacy,Dhule,Sakri,Private,Open
PHR0079,Mohol Care Store,Solapur,Mohol,Private,Open
PHR0080,Hingna Pharma Pharmacy,Nagpur,Hingna,Government,Open
PHR0081,Kupwad Care Pharmacy,Sangli,Kupwad,Private,Open
PHR0082,Shrirampur Medical Store,Ahmednagar,Shrirampur,Private,Open
PHR0083,Baramati Pharma Store,Pune,Baramati,Private,Open
PHR0084,Nandurbar Medical Pharmacy,Dhule,Nandurbar,Private,Open
PHR0085,Mahabaleshwar Care Store,Satara,Mahabaleshwar,Private,Closed
PHR0086,Pandharpur Health Chemist,Solapur,Pandharpur,Private,Closed
PHR0087,Mumbai Pharma Pharmacy,Mumbai,Mumbai,Private,Closed
PHR0088,Kopargaon Health Pharmacy,Ahmednagar,Kopargaon,Private,Open
PHR0089,Sillod Care Pharmacy,Aurangabad,Sillod,Private,Open
PHR0090,Chopda Health Chemist,Jalgaon,Chopda,Private,Open
PHR0091,Butibori Medical Store,Nagpur,Butibori,Private,Open
PHR0092,Satara Medical Pharmacy,Satara,Satara,Government,Open
PHR0093,Aurangabad Wellness Dispensary,Aurangabad,Aurangabad,Private,Open
PHR0094,Mohol Medical Pharmacy,Solapur,Mohol,Government,Open
PHR0095,Rahuri Health Chemist,Ahmednagar,Rahuri,Private,Open
PHR0096,Talegaon Care Store,Pune,Talegaon,Government,Closed
PHR0097,Amravati Health Chemist,Amravati,Amravati,Private,Open
PHR0098,Sindkhede Wellness Pharmacy,Dhule,Sindkhede,Government,Open
PHR0099,Pune Health Pharmacy,Pune,Pune,Private,Open
PHR0100,Satara Medical Chemist,Satara,Satara,Government,Open
PHR0101,Malegaon Pharma Pharmacy,Nashik,Malegaon,Government,Open
PHR0102,Niphad Wellness Store,Nashik,Niphad,Government,Open
PHR0103,Talegaon Health Store,Pune,Talegaon,Private,Closed
PHR0104,Tasgaon Wellness Pharmacy,Sangli,Tasgaon,Private,Closed
PHR0105,Talegaon Medical Dispensary,Pune,Talegaon,Private,Open
PHR0106,Nandurbar Medical Dispensary,Dhule,Nandurbar,Private,Closed
PHR0107,Baramati Pharma Store,Pune,Baramati,Private,Open
PHR0108,Nashik Medical Store,Nashik,Nashik,Private,Closed
PHR0109,Sakri Pharma Pharmacy,Dhule,Sakri,Private,Closed
PHR0110,Daryapur Health Chemist,Amravati,Daryapur,Private,Closed
PHR0111,Daryapur Pharma Chemist,Amravati,Daryapur,Private,Closed
PHR0112,Tasgaon Medical Store,Sangli,Tasgaon,Government,Closed
PHR0113,Andheri Pharma Dispensary,Mumbai,Andheri,Government,Open
PHR0114,Chopda Pharma Store,Jalgaon,Chopda,Private,Open
PHR0115,Sinnar Pharma Dispensary,Nashik,Sinnar,Government,Closed
PHR0116,Sakri Pharma Store,Dhule,Sakri,Government,Open
PHR0117,Gangapur Care Pharmacy,Aurangabad,Gangapur,Private,Closed
PHR0118,Warud Care Dispensary,Amravati,Warud,Private,Open
PHR0119,Shirur Care Pharmacy,Pune,Shirur,Private,Open
PHR0120,Sillod Wellness Chemist,Aurangabad,Sillod,Government,Open
PHR0121,Nandurbar Pharma Pharmacy,Dhule,Nandurbar,Private,Closed
PHR0122,Sillod Care Dispensary,Aurangabad,Sillod,Government,Open
PHR0123,Uran Medical Chemist,Raigad,Uran,Private,Open
PHR0124,Borivali Wellness Store,Mumbai,Borivali,Government,Open
PHR0125,Sillod Health Dispensary,Aurangabad,Sillod,Private,Open
PHR0126,Deoni Care Store,Latur,Deoni,Private,Open
PHR0127,Dhule Pharma Pharmacy,Dhule,Dhule,Private,Open
PHR0128,Talegaon Health Dispensary,Pune,Talegaon,Private,Open
PHR0129,Amalner Health Store,Jalgaon,Amalner,Private,Open
PHR0130,Morshi Care Store,Amravati,Morshi,Private,Open
PHR0131,Baramati Care Chemist,Pune,Baramati,Government,Open
PHR0132,Pimpri-Chinchwad Pharma Store,Pune,Pimpri-Chinchwad,Private,Closed
PHR0133,Baramati Health Dispensary,Pune,Baramati,Private,Open
PHR0134,Pimpri-Chinchwad Care Dispensary,Pune,Pimpri-Chinchwad,Private,Open
PHR0135,Nashik Health Chemist,Nashik,Nashik,Government,Open
PHR0136,Paithan Health Pharmacy,Aurangabad,Paithan,Private,Open
PHR0137,Nashik Medical Store,Nashik,Nashik,Private,Open
PHR0138,Sangamner Medical Dispensary,Ahmednagar,Sangamner,Private,Open
PHR0139,Mangalvedhe Care Chemist,Solapur,Mangalvedhe,Government,Open
PHR0140,Rahuri Medical Dispensary,Ahmednagar,Rahuri,Government,Closed
PHR0141,Sinnar Pharma Dispensary,Nashik,Sinnar,Government,Open
PHR0142,Mohol Pharma Dispensary,Solapur,Mohol,Government,Open
PHR0143,Nandurbar Medical Pharmacy,Dhule,Nandurbar,Private,Open
PHR0144,Pandharpur Wellness Chemist,Solapur,Pandharpur,Private,Open
PHR0145,Bhusawal Pharma Chemist,Jalgaon,Bhusawal,Private,Closed
PHR0146,Shirpur Care Chemist,Dhule,Shirpur,Government,Open
PHR0147,Mumbai Medical Chemist,Mumbai,Mumbai,Private,Open
PHR0148,Sakri Health Dispensary,Dhule,Sakri,Private,Open
PHR0149,Hatkanangle Health Pharmacy,Kolhapur,Hatkanangle,Private,Open
PHR0150,Kamptee Care Dispensary,Nagpur,Kamptee,Private,Open
PHR0151,Borivali Medical Chemist,Mumbai,Borivali,Private,Open
PHR0152,Pandharpur Care Dispensary,Solapur,Pandharpur,Private,Open
PHR0153,Achalpur Wellness Store,Amravati,Achalpur,Government,Open
PHR0154,Warud Wellness Chemist,Amravati,Warud,Private,Closed
PHR0155,Nandurbar Care Chemist,Dhule,Nandurbar,Private,Open
PHR0156,Shrirampur Medical Chemist,Ahmednagar,Shrirampur,Government,Open
PHR0157,Tasgaon Medical Chemist,Sangli,Tasgaon,Private,Open
PHR0158,Tasgaon Health Dispensary,Sangli,Tasgaon,Government,Open
PHR0159,Kurla Health Pharmacy,Mumbai,Kurla,Private,Open
PHR0160,Mahabaleshwar Medical Dispensary,Satara,Mahabaleshwar,Private,Open
PHR0161,Khanapur Pharma Chemist,Sangli,Khanapur,Private,Open
PHR0162,Morshi Care Pharmacy,Amravati,Morshi,Private,Open
PHR0163,Hatkanangle Wellness Dispensary,Kolhapur,Hatkanangle,Private,Open
PHR0164,Vaijapur Pharma Store,Aurangabad,Vaijapur,Private,Open
PHR0165,Rahuri Care Dispensary,Ahmednagar,Rahuri,Government,Open
PHR0166,Mohol Wellness Dispensary,Solapur,Mohol,Private,Open
PHR0167,Hingna Medical Store,Nagpur,Hingna,Government,Open
PHR0168,Deoni Wellness Store,Latur,Deoni,Private,Open
PHR0169,Pimpri-Chinchwad Health Store,Pune,Pimpri-Chinchwad,Private,Open
PHR0170,Malegaon Pharma Pharmacy,Nashik,Malegaon,Private,Open
PHR0171,Miraj Medical Store,Sangli,Miraj,Government,Closed
PHR0172,Kamptee Pharma Store,Nagpur,Kamptee,Private,Open
PHR0173,Rahuri Health Chemist,Ahmednagar,Rahuri,Government,Open
PHR0174,Deoni Wellness Chemist,Latur,Deoni,Private,Open
PHR0175,Udgir Health Dispensary,Latur,Udgir,Private,Open
PHR0176,Pandharpur Medical Dispensary,Solapur,Pandharpur,Private,Open
PHR0177,Panvel Pharma Pharmacy,Raigad,Panvel,Private,Open
PHR0178,Butibori Wellness Store,Nagpur,Butibori,Private,Open
PHR0179,Rahuri Wellness Chemist,Ahmednagar,Rahuri,Private,Open
PHR0180,Sinnar Medical Pharmacy,Nashik,Sinnar,Government,Open
PHR0181,Andheri Care Pharmacy,Mumbai,Andheri,Private,Open
PHR0182,Achalpur Pharma Chemist,Amravati,Achalpur,Private,Closed
PHR0183,Vaijapur Medical Pharmacy,Aurangabad,Vaijapur,Private,Open
PHR0184,Udgir Care Dispensary,Latur,Udgir,Private,Open
PHR0185,Borivali Wellness Pharmacy,Mumbai,Borivali,Private,Open
PHR0186,Amalner Wellness Pharmacy,Jalgaon,Amalner,Government,Closed
PHR0187,Nandurbar Care Dispensary,Dhule,Nandurbar,Government,Closed
PHR0188,Talegaon Care Store,Pune,Talegaon,Private,Open
PHR0189,Pen Care Chemist,Raigad,Pen,Private,Closed
PHR0190,Pimpri-Chinchwad Wellness Chemist,Pune,Pimpri-Chinchwad,Government,Closed
PHR0191,Udgir Medical Chemist,Latur,Udgir,Government,Open
PHR0192,Kamptee Health Pharmacy,Nagpur,Kamptee,Private,Open
PHR0193,Pachora Care Dispensary,Jalgaon,Pachora,Government,Open
PHR0194,Dadar Health Chemist,Mumbai,Dadar,Private,Open
PHR0195,Shirur Care Chemist,Pune,Shirur,Private,Open
PHR0196,Daryapur Medical Store,Amravati,Daryapur,Government,Open
PHR0197,Shirur Pharma Pharmacy,Pune,Shirur,Private,Open
PHR0198,Shirpur Health Pharmacy,Dhule,Shirpur,Private,Open
PHR0199,Mangalvedhe Wellness Dispensary,Solapur,Mangalvedhe,Government,Open
PHR0200,Barshi Care Dispensary,Solapur,Barshi,Private,Open
PHR0201,Satara Wellness Chemist,Satara,Satara,Government,Open
PHR0202,Kopargaon Medical Pharmacy,Ahmednagar,Kopargaon,Private,Closed
PHR0203,Kupwad Pharma Chemist,Sangli,Kupwad,Private,Open
PHR0204,Daryapur Pharma Pharmacy,Amravati,Daryapur,Private,Open
PHR0205,Ichalkaranji Wellness Chemist,Kolhapur,Ichalkaranji,Private,Closed
PHR0206,Alibag Care Chemist,Raigad,Alibag,Government,Closed
PHR0207,Udgir Medical Dispensary,Latur,Udgir,Private,Open
PHR0208,Solapur Pharma Dispensary,Solapur,Solapur,Private,Open
PHR0209,Ahmednagar Wellness Pharmacy,Ahmednagar,Ahmednagar,Government,Open
PHR0210,Wai Wellness Pharmacy,Satara,Wai,Government,Open
PHR0211,Hingna Wellness Store,Nagpur,Hingna,Government,Open
PHR0212,Andheri Care Store,Mumbai,Andheri,Private,Open
PHR0213,Katol Medical Pharmacy,Nagpur,Katol,Private,Open
PHR0214,Igatpuri Health Dispensary,Nashik,Igatpuri,Government,Open
PHR0215,Pen Care Chemist,Raigad,Pen,Private,Open
PHR0216,Kupwad Medical Chemist,Sangli,Kupwad,Private,Open
PHR0217,Karad Pharma Store,Satara,Karad,Private,Open
PHR0218,Alibag Wellness Dispensary,Raigad,Alibag,Government,Open
PHR0219,Katol Care Chemist,Nagpur,Katol,Government,Closed
PHR0220,Deoni Pharma Dispensary,Latur,Deoni,Private,Open
PHR0221,Satara Medical Store,Satara,Satara,Government,Open
PHR0222,Tasgaon Care Dispensary,Sangli,Tasgaon,Private,Closed
PHR0223,Alibag Health Chemist,Raigad,Alibag,Private,Closed
PHR0224,Sangamner Care Store,Ahmednagar,Sangamner,Government,Open
PHR0225,Daryapur Health Pharmacy,Amravati,Daryapur,Government,Open
PHR0226,Kurla Pharma Chemist,Mumbai,Kurla,Government,Open
PHR0227,Phaltan Wellness Dispensary,Satara,Phaltan,Private,Open
PHR0228,Sangamner Health Store,Ahmednagar,Sangamner,Private,Closed
PHR0229,Borivali Medical Dispensary,Mumbai,Borivali,Government,Open
PHR0230,Shrirampur Medical Chemist,Ahmednagar,Shrirampur,Private,Open
PHR0231,Nandurbar Pharma Dispensary,Dhule,Nandurbar,Government,Open
PHR0232,Vaijapur Wellness Dispensary,Aurangabad,Vaijapur,Private,Open
PHR0233,Pandharpur Pharma Pharmacy,Solapur,Pandharpur,Government,Open
PHR0234,Igatpuri Wellness Store,Nashik,Igatpuri,Government,Open
PHR0235,Sangli Health Chemist,Sangli,Sangli,Private,Open
PHR0236,Igatpuri Care Store,Nashik,Igatpuri,Government,Open
PHR0237,Hatkanangle Wellness Dispensary,Kolhapur,Hatkanangle,Private,Closed
PHR0238,Chopda Pharma Store,Jalgaon,Chopda,Government,Open
PHR0239,Wai Health Pharmacy,Satara,Wai,Private,Open
PHR0240,Hingna Health Chemist,Nagpur,Hingna,Private,Closed
PHR0241,Sangli Health Chemist,Sangli,Sangli,Private,Open
PHR0242,Kolhapur Health Store,Kolhapur,Kolhapur,Government,Open
PHR0243,Kupwad Medical Dispensary,Sangli,Kupwad,Private,Open
PHR0244,Sindkhede Medical Store,Dhule,Sindkhede,Government,Open
PHR0245,Mohol Wellness Store,Solapur,Mohol,Private,Open
PHR0246,Pen Pharma Chemist,Raigad,Pen,Private,Open
PHR0247,Rahuri Pharma Store,Ahmednagar,Rahuri,Government,Open
PHR0248,Shirur Wellness Store,Pune,Shirur,Private,Open
PHR0249,Uran Health Pharmacy,Raigad,Uran,Private,Open
PHR0250,Aurangabad Care Chemist,Aurangabad,Aurangabad,Private,Open
PHR0251,Niphad Health Dispensary,Nashik,Niphad,Private,Open
PHR0252,Hatkanangle Wellness Pharmacy,Kolhapur,Hatkanangle,Private,Open
PHR0253,Amalner Medical Pharmacy,Jalgaon,Amalner,Government,Open
PHR0254,Amalner Health Pharmacy,Jalgaon,Amalner,Government,Open
PHR0255,Miraj Medical Store,Sangli,Miraj,Government,Open
PHR0256,Sindkhede Care Dispensary,Dhule,Sindkhede,Private,Open
PHR0257,Igatpuri Health Store,Nashik,Igatpuri,Private,Closed
PHR0258,Kagal Medical Chemist,Kolhapur,Kagal,Private,Closed
PHR0259,Wai Health Pharmacy,Satara,Wai,Private,Open
PHR0260,Hatkanangle Wellness Dispensary,Kolhapur,Hatkanangle,Government,Open
PHR0261,Warud Health Pharmacy,Amravati,Warud,Private,Open
PHR0262,Rahuri Wellness Dispensary,Ahmednagar,Rahuri,Government,Closed
PHR0263,Malegaon Care Store,Nashik,Malegaon,Private,Closed
PHR0264,Nilanga Care Pharmacy,Latur,Nilanga,Government,Open
PHR0265,Dadar Pharma Chemist,Mumbai,Dadar,Government,Open
PHR0266,Dhule Wellness Store,Dhule,Dhule,Government,Open
PHR0267,Nilanga Pharma Dispensary,Latur,Nilanga,Private,Closed
PHR0268,Daryapur Medical Pharmacy,Amravati,Daryapur,Government,Open
PHR0269,Sangli Care Chemist,Sangli,Sangli,Government,Open
PHR0270,Mahabaleshwar Pharma Chemist,Satara,Mahabaleshwar,Government,Open
PHR0271,Talegaon Pharma Pharmacy,Pune,Talegaon,Private,Open
PHR0272,Nagpur Pharma Dispensary,Nagpur,Nagpur,Private,Closed
PHR0273,Khanapur Health Chemist,Sangli,Khanapur,Private,Open
PHR0274,Tasgaon Pharma Pharmacy,Sangli,Tasgaon,Private,Closed
PHR0275,Butibori Wellness Chemist,Nagpur,Butibori,Private,Open
PHR0276,Uran Pharma Chemist,Raigad,Uran,Private,Open
PHR0277,Pandharpur Medical Pharmacy,Solapur,Pandharpur,Private,Open
PHR0278,Satara Care Dispensary,Satara,Satara,Government,Closed
PHR0279,Khanapur Health Store,Sangli,Khanapur,Private,Closed
PHR0280,Khanapur Health Pharmacy,Sangli,Khanapur,Private,Open
PHR0281,Karad Care Chemist,Satara,Karad,Private,Open
PHR0282,Amravati Medical Pharmacy,Amravati,Amravati,Private,Open
PHR0283,Achalpur Care Store,Amravati,Achalpur,Private,Closed
PHR0284,Shrirampur Wellness Pharmacy,Ahmednagar,Shrirampur,Private,Open
PHR0285,Chopda Health Store,Jalgaon,Chopda,Private,Open
PHR0286,Mohol Wellness Store,Solapur,Mohol,Private,Open
PHR0287,Aurangabad Pharma Dispensary,Aurangabad,Aurangabad,Government,Closed
PHR0288,Amalner Medical Dispensary,Jalgaon,Amalner,Private,Open
PHR0289,Morshi Medical Store,Amravati,Morshi,Private,Open
PHR0290,Pen Pharma Chemist,Raigad,Pen,Government,Open
PHR0291,Warud Health Dispensary,Amravati,Warud,Private,Open
PHR0292,Phaltan Wellness Store,Satara,Phaltan,Government,Closed
PHR0293,Nashik Health Store,Nashik,Nashik,Private,Open
PHR0294,Udgir Care Dispensary,Latur,Udgir,Private,Open
PHR0295,Dadar Pharma Chemist,Mumbai,Dadar,Government,Open
PHR0296,Mohol Wellness Dispensary,Solapur,Mohol,Private,Open
PHR0297,Alibag Medical Store,Raigad,Alibag,Government,Open
PHR0298,Gangapur Health Pharmacy,Aurangabad,Gangapur,Private,Open
PHR0299,Alibag Care Store,Raigad,Alibag,Private,Open
PHR0300,Deoni Wellness Chemist,Latur,Deoni,Private,Open
PHR0301,Borivali Health Chemist,Mumbai,Borivali,Private,Open
PHR0302,Chopda Care Chemist,Jalgaon,Chopda,Private,Open
PHR0303,Jalgaon Pharma Dispensary,Jalgaon,Jalgaon,Private,Open
PHR0304,Bhusawal Medical Store,Jalgaon,Bhusawal,Private,Open
PHR0305,Aurangabad Health Store,Aurangabad,Aurangabad,Private,Open
PHR0306,Udgir Care Pharmacy,Latur,Udgir,Private,Open
PHR0307,Butibori Pharma Chemist,Nagpur,Butibori,Government,Open
PHR0308,Satara Health Chemist,Satara,Satara,Private,Closed
PHR0309,Kagal Medical Chemist,Kolhapur,Kagal,Private,Open
PHR0310,Alibag Wellness Pharmacy,Raigad,Alibag,Private,Open
PHR0311,Uran Health Store,Raigad,Uran,Private,Open
PHR0312,Achalpur Wellness Pharmacy,Amravati,Achalpur,Private,Open
PHR0313,Ahmednagar Medical Pharmacy,Ahmednagar,Ahmednagar,Private,Open
PHR0314,Karad Wellness Chemist,Satara,Karad,Private,Open
PHR0315,Morshi Care Pharmacy,Amravati,Morshi,Private,Open
PHR0316,Tasgaon Care Store,Sangli,Tasgaon,Government,Open
PHR0317,Daryapur Health Dispensary,Amravati,Daryapur,Government,Open
PHR0318,Hatkanangle Medical Dispensary,Kolhapur,Hatkanangle,Government,Open
PHR0319,Pimpri-Chinchwad Health Chemist,Pune,Pimpri-Chinchwad,Private,Closed
PHR0320,Radhanagari Medical Store,Kolhapur,Radhanagari,Government,Open
PHR0321,Jalgaon Health Dispensary,Jalgaon,Jalgaon,Private,Open
PHR0322,Amalner Wellness Pharmacy,Jalgaon,Amalner,Private,Open
PHR0323,Achalpur Medical Chemist,Amravati,Achalpur,Private,Open
PHR0324,Mohol Medical Dispensary,Solapur,Mohol,Government,Open
PHR0325,Dadar Wellness Chemist,Mumbai,Dadar,Private,Open
PHR0326,Bhusawal Wellness Chemist,Jalgaon,Bhusawal,Private,Open
PHR0327,Shirur Pharma Store,Pune,Shirur,Government,Open
PHR0328,Malegaon Care Pharmacy,Nashik,Malegaon,Private,Open
PHR0329,Deoni Pharma Dispensary,Latur,Deoni,Government,Open
PHR0330,Sakri Care Dispensary,Dhule,Sakri,Private,Closed
PHR0331,Talegaon Pharma Dispensary,Pune,Talegaon,Government,Open
PHR0332,Ichalkaranji Pharma Store,Kolhapur,Ichalkaranji,Private,Open
PHR0333,Sangli Care Store,Sangli,Sangli,Private,Closed
PHR0334,Talegaon Pharma Pharmacy,Pune,Talegaon,Private,Open
PHR0335,Kurla Health Dispensary,Mumbai,Kurla,Private,Open
PHR0336,Alibag Medical Chemist,Raigad,Alibag,Private,Closed
PHR0337,Phaltan Health Pharmacy,Satara,Phaltan,Private,Open
PHR0338,Pune Health Store,Pune,Pune,Private,Open
PHR0339,Ahmednagar Wellness Pharmacy,Ahmednagar,Ahmednagar,Private,Open
PHR0340,Pimpri-Chinchwad Health Chemist,Pune,Pimpri-Chinchwad,Government,Open
PHR0341,Sangli Health Chemist,Sangli,Sangli,Private,Open
PHR0342,Shrirampur Wellness Pharmacy,Ahmednagar,Shrirampur,Private,Closed
PHR0343,Pune Medical Pharmacy,Pune,Pune,Private,Open
PHR0344,Latur Medical Pharmacy,Latur,Latur,Private,Closed
PHR0345,Sinnar Medical Chemist,Nashik,Sinnar,Private,Closed
PHR0346,Pimpri-Chinchwad Health Dispensary,Pune,Pimpri-Chinchwad,Private,Open
PHR0347,Malegaon Health Pharmacy,Nashik,Malegaon,Private,Open
PHR0348,Pandharpur Health Store,Solapur,Pandharpur,Private,Closed
PHR0349,Uran Wellness Pharmacy,Raigad,Uran,Private,Closed
PHR0350,Karjat Health Pharmacy,Raigad,Karjat,Private,Open
PHR0351,Karjat Health Dispensary,Raigad,Karjat,Private,Open
PHR0352,Morshi Health Pharmacy,Amravati,Morshi,Private,Open
PHR0353,Sakri Pharma Pharmacy,Dhule,Sakri,Private,Open
PHR0354,Alibag Care Store,Raigad,Alibag,Private,Open
PHR0355,Aurangabad Pharma Pharmacy,Aurangabad,Aurangabad,Private,Closed
PHR0356,Nandurbar Wellness Dispensary,Dhule,Nandurbar,Private,Open
PHR0357,Shirpur Medical Store,Dhule,Shirpur,Government,Open
PHR0358,Jalgaon Pharma Chemist,Jalgaon,Jalgaon,Government,Closed
PHR0359,Aurangabad Care Chemist,Aurangabad,Aurangabad,Government,Closed
PHR0360,Malegaon Wellness Chemist,Nashik,Malegaon,Government,Closed
PHR0361,Nagpur Pharma Store,Nagpur,Nagpur,Private,Open
PHR0362,Satara Care Pharmacy,Satara,Satara,Private,Open
PHR0363,Sillod Medical Chemist,Aurangabad,Sillod,Private,Open
PHR0364,Karad Care Dispensary,Satara,Karad,Private,Open
PHR0365,Dhule Care Dispensary,Dhule,Dhule,Government,Open
PHR0366,Panvel Wellness Dispensary,Raigad,Panvel,Private,Open
PHR0367,Sillod Care Pharmacy,Aurangabad,Sillod,Private,Open
PHR0368,Gangapur Wellness Pharmacy,Aurangabad,Gangapur,Private,Open
PHR0369,Pen Health Dispensary,Raigad,Pen,Government,Closed
PHR0370,Radhanagari Health Chemist,Kolhapur,Radhanagari,Private,Open
PHR0371,Satara Care Store,Satara,Satara,Government,Open
PHR0372,Daryapur Medical Pharmacy,Amravati,Daryapur,Private,Open
PHR0373,Sillod Pharma Dispensary,Aurangabad,Sillod,Government,Open
PHR0374,Baramati Wellness Store,Pune,Baramati,Government,Open
PHR0375,Karjat Care Chemist,Raigad,Karjat,Government,Open
PHR0376,Ichalkaranji Pharma Store,Kolhapur,Ichalkaranji,Private,Open
PHR0377,Niphad Pharma Dispensary,Nashik,Niphad,Private,Open
PHR0378,Deoni Pharma Dispensary,Latur,Deoni,Private,Closed
PHR0379,Nashik Wellness Dispensary,Nashik,Nashik,Private,Open
PHR0380,Karad Health Dispensary,Satara,Karad,Government,Closed
PHR0381,Mangalvedhe Medical Dispensary,Solapur,Mangalvedhe,Government,Open
PHR0382,Pen Care Store,Raigad,Pen,Private,Open
